6|6,6.670951843261719
18 6 18|18 6 18,6.7996978759765625
24 6 18|24 6 18,7.176399230957031
30 6 18|30 6 18,6.756782531738281
36 6 18|36 6 18,6.918907165527344
42 6 18|42 6 18,6.918907165527344
48 6 18|48 6 18,6.718635559082031
54 6 18|54 6 18,6.7806243896484375
60 6 18|60 6 18,6.833076477050781
66 6 18|66 6 18,6.995201110839844
72 6 18|72 6 18,7.023811340332031
78 6 18|78 6 18,6.852149963378906
84 6 18|84 6 18,7.452964782714844
90 6 18|90 6 18,6.794929504394531
96 6 18|96 6 18,6.957054138183594
12 18|12 18,6.747245788574219
6 12 18|6 12 18,6.82830810546875
12 12 18|12 12 18,6.4849853515625
18 12 18|18 12 18,6.756782531738281
24 12 18|24 12 18,6.6852569580078125
30 12 18|30 12 18,6.861686706542969
36 12 18|36 12 18,6.6661834716796875
42 12 18|42 12 18,6.823539733886719
48 12 18|48 12 18,6.909370422363281
54 12 18|54 12 18,7.166862487792969
60 12 18|60 12 18,7.0858001708984375
66 12 18|66 12 18,6.833076477050781
72 12 18|72 12 18,7.572174072265625
78 12 18|78 12 18,7.0476531982421875
84 12 18|84 12 18,6.9427490234375
90 12 18|90 12 18,7.2479248046875
96 12 18|96 12 18,7.662773132324219
18 18|18 18,6.7138671875
6 18 18|6 18 18,8.387565612792969
12 18 18|12 18 18,6.632804870605469
18 18 18|18 18 18,6.6089630126953125
24 18 18|24 18 18,6.75201416015625
30 18 18|30 18 18,6.899833679199219
36 18 18|36 18 18,7.138252258300781
42 18 18|42 18 18,6.613731384277344
48 18 18|48 18 18,7.185935974121094
54 18 18|54 18 18,10.838508605957031
60 18 18|60 18 18,7.36236572265625
66 18 18|66 18 18,6.885528564453125
72 18 18|72 18 18,7.367134094238281
78 18 18|78 18 18,7.948875427246095
84 18 18|84 18 18,7.824897766113281
90 18 18|90 18 18,7.610321044921875
96 18 18|96 18 18,7.5054168701171875
24 18|24 18,6.442070007324219
6 24 18|6 24 18,6.809234619140625
12 24 18|12 24 18,6.7138671875
18 24 18|18 24 18,6.9141387939453125
24 24 18|24 24 18,6.8187713623046875
30 24 18|30 24 18,7.114410400390625
36 24 18|36 24 18,7.0285797119140625
42 24 18|42 24 18,7.610321044921875
48 24 18|48 24 18,6.9522857666015625
54 24 18|54 24 18,7.481575012207031
60 24 18|60 24 18,7.762908935546876
66 24 18|66 24 18,7.500648498535156
72 24 18|72 24 18,7.8582763671875
78 24 18|78 24 18,7.801055908203125
84 24 18|84 24 18,10.666847229003906
90 24 18|90 24 18,8.645057678222656
96 24 18|96 24 18,8.358955383300781
30 18|30 18,6.747245788574219
6 30 18|6 30 18,6.508827209472656
12 30 18|12 30 18,7.190704345703125
18 30 18|18 30 18,6.9522857666015625
24 30 18|24 30 18,6.6852569580078125
30 30 18|30 30 18,7.128715515136719
36 30 18|36 30 18,7.4672698974609375
42 30 18|42 30 18,7.061958312988281
48 30 18|48 30 18,7.624626159667969
54 30 18|54 30 18,7.205009460449219
60 30 18|60 30 18,7.9441070556640625
66 30 18|66 30 18,10.056495666503906
72 30 18|72 30 18,7.758140563964844
78 30 18|78 30 18,7.925033569335938
84 30 18|84 30 18,8.740425109863281
90 30 18|90 30 18,8.530616760253906
96 30 18|96 30 18,9.093284606933594
36 18|36 18,6.709098815917969
6 36 18|6 36 18,6.766319274902344
12 36 18|12 36 18,7.224082946777344
18 36 18|18 36 18,6.90460205078125
24 36 18|24 36 18,6.976127624511719
30 36 18|30 36 18,6.961822509765625
36 36 18|36 36 18,7.185935974121094
42 36 18|42 36 18,7.610321044921875
48 36 18|48 36 18,8.373260498046875
54 36 18|54 36 18,8.039474487304688
60 36 18|60 36 18,8.268356323242188
66 36 18|66 36 18,8.625984191894531
72 36 18|72 36 18,8.525848388671875
78 36 18|78 36 18,8.697509765625
84 36 18|84 36 18,9.722709655761719
90 36 18|90 36 18,9.241104125976562
96 36 18|96 36 18,9.827613830566406
42 18|42 18,6.9713592529296875
6 42 18|6 42 18,6.5135955810546875
12 42 18|12 42 18,7.376670837402344
18 42 18|18 42 18,6.8378448486328125
24 42 18|24 42 18,6.923675537109375
30 42 18|30 42 18,7.367134094238281
36 42 18|36 42 18,7.266998291015625
42 42 18|42 42 18,8.044242858886719
48 42 18|48 42 18,8.406639099121094
54 42 18|54 42 18,8.463859558105469
60 42 18|60 42 18,8.211135864257812
66 42 18|66 42 18,8.897781372070312
72 42 18|72 42 18,9.3841552734375
78 42 18|78 42 18,11.386871337890625
84 42 18|84 42 18,10.218620300292969
90 42 18|90 42 18,10.509490966796875
96 42 18|96 42 18,10.313987731933594
48 18|48 18,6.566047668457031
6 48 18|6 48 18,6.871223449707031
12 48 18|12 48 18,7.0858001708984375
18 48 18|18 48 18,6.9522857666015625
24 48 18|24 48 18,7.176399230957031
30 48 18|30 48 18,7.462501525878906
36 48 18|36 48 18,8.187294006347656
42 48 18|42 48 18,7.743835449218749
48 48 18|48 48 18,8.249282836914062
54 48 18|54 48 18,9.102821350097656
60 48 18|60 48 18,9.579658508300781
66 48 18|66 48 18,9.6893310546875
72 48 18|72 48 18,10.080337524414062
78 48 18|78 48 18,10.294914245605469
84 48 18|84 48 18,10.800361633300781
90 48 18|90 48 18,11.014938354492188
96 48 18|96 48 18,10.981559753417969
54 18|54 18,6.8759918212890625
6 54 18|6 54 18,7.076263427734375
12 54 18|12 54 18,6.8759918212890625
18 54 18|18 54 18,7.0858001708984375
24 54 18|24 54 18,8.230209350585938
30 54 18|30 54 18,7.4100494384765625
36 54 18|36 54 18,8.029937744140625
42 54 18|42 54 18,8.392333984375
48 54 18|48 54 18,8.425712585449219
54 54 18|54 54 18,10.1470947265625
60 54 18|60 54 18,9.264945983886719
66 54 18|66 54 18,10.07080078125
72 54 18|72 54 18,10.2996826171875
78 54 18|78 54 18,10.242462158203125
84 54 18|84 54 18,11.844635009765625
90 54 18|90 54 18,11.548995971679688
96 54 18|96 54 18,10.333061218261719
60 18|60 18,6.771087646484375
6 60 18|6 60 18,6.8378448486328125
