6|6,10.79559326171875
36 84 12|36 84 12,13.108253479003906
42 84 12|42 84 12,13.155937194824219
48 84 12|48 84 12,13.647079467773438
54 84 12|54 84 12,14.2669677734375
60 84 12|60 84 12,15.354156494140627
66 84 12|66 84 12,14.219284057617188
72 84 12|72 84 12,16.264915466308594
78 84 12|78 84 12,15.730857849121096
84 84 12|84 84 12,15.492439270019533
90 84 12|90 84 12,15.521049499511717
96 84 12|96 84 12,17.037391662597656
90 12|90 12,10.943412780761719
6 90 12|6 90 12,11.310577392578125
12 90 12|12 90 12,11.849403381347656
18 90 12|18 90 12,16.450881958007812
24 90 12|24 90 12,12.736320495605469
30 90 12|30 90 12,12.311935424804688
36 90 12|36 90 12,13.670921325683594
42 90 12|42 90 12,14.224052429199219
48 90 12|48 90 12,14.438629150390625
54 90 12|54 90 12,14.214515686035156
60 90 12|60 90 12,14.524459838867188
66 90 12|66 90 12,15.71178436279297
72 90 12|72 90 12,15.821456909179688
78 90 12|78 90 12,14.8773193359375
84 90 12|84 90 12,15.664100646972656
90 90 12|90 90 12,15.59257507324219
96 90 12|96 90 12,15.954971313476562
96 12|96 12,10.79559326171875
6 96 12|6 96 12,11.119842529296875
12 96 12|12 96 12,11.858940124511719
18 96 12|18 96 12,11.916160583496094
24 96 12|24 96 12,11.963844299316406
30 96 12|30 96 12,13.356208801269531
36 96 12|36 96 12,14.071464538574219
42 96 12|42 96 12,13.909339904785156
48 96 12|48 96 12,13.227462768554688
54 96 12|54 96 12,14.767646789550781
60 96 12|60 96 12,15.26355743408203
66 96 12|66 96 12,14.510154724121094
72 96 12|72 96 12,14.834403991699219
78 96 12|78 96 12,14.553070068359375
84 96 12|84 96 12,16.89434051513672
90 96 12|90 96 12,17.218589782714844
96 96 12|96 96 12,20.70903778076172
18|18,11.496543884277344
6 18|6 18,10.952949523925781
6 6 18|6 6 18,11.758804321289062
12 6 18|12 6 18,11.572837829589844
18 6 18|18 6 18,10.828971862792969
24 6 18|24 6 18,11.277198791503906
30 6 18|30 6 18,11.10076904296875
36 6 18|36 6 18,10.523796081542969
42 6 18|42 6 18,11.02447509765625
48 6 18|48 6 18,10.957717895507812
54 6 18|54 6 18,11.339187622070312
60 6 18|60 6 18,10.800361633300781
66 6 18|66 6 18,10.762214660644531
72 6 18|72 6 18,11.148452758789062
78 6 18|78 6 18,10.886192321777344
84 6 18|84 6 18,11.920928955078125
90 6 18|90 6 18,11.119842529296875
96 6 18|96 6 18,10.87188720703125
12 18|12 18,10.747909545898438
6 12 18|6 12 18,10.709762573242188
12 12 18|12 12 18,11.477470397949219
18 12 18|18 12 18,10.809898376464844
24 12 18|24 12 18,11.096000671386719
30 12 18|30 12 18,10.848045349121094
36 12 18|36 12 18,11.053085327148438
42 12 18|42 12 18,11.0626220703125
48 12 18|48 12 18,11.167526245117188
54 12 18|54 12 18,11.267662048339844
60 12 18|60 12 18,11.110305786132812
66 12 18|66 12 18,11.649131774902344
72 12 18|72 12 18,12.392997741699219
78 12 18|78 12 18,12.516975402832031
84 12 18|84 12 18,12.726783752441406
90 12 18|90 12 18,12.540817260742188
96 12 18|96 12 18,12.664794921875
18 18|18 18,10.499954223632812
6 18 18|6 18 18,11.148452758789062
12 18 18|12 18 18,11.382102966308594
18 18 18|18 18 18,11.720657348632812
24 18 18|24 18 18,11.353492736816406
30 18 18|30 18 18,11.78741455078125
36 18 18|36 18 18,11.40594482421875
42 18 18|42 18 18,11.811256408691406
48 18 18|48 18 18,12.316703796386719
54 18 18|54 18 18,12.745857238769531
60 18 18|60 18 18,12.826919555664062
66 18 18|66 18 18,19.164085388183594
72 18 18|72 18 18,12.726783752441406
78 18 18|78 18 18,13.709068298339844
84 18 18|84 18 18,14.352798461914062
90 18 18|90 18 18,13.241767883300781
96 18 18|96 18 18,13.418197631835938
24 18|24 18,10.867118835449219
6 24 18|6 24 18,11.935234069824219
12 24 18|12 24 18,11.200904846191406
18 24 18|18 24 18,11.267662048339844
24 24 18|24 24 18,11.267662048339844
30 24 18|30 24 18,11.444091796875
36 24 18|36 24 18,12.364387512207031
42 24 18|42 24 18,12.392997741699219
48 24 18|48 24 18,11.906623840332031
54 24 18|54 24 18,12.607574462890625
60 24 18|60 24 18,13.222694396972656
66 24 18|66 24 18,13.060569763183594
72 24 18|72 24 18,12.373924255371094
78 24 18|78 24 18,12.7410888671875
84 24 18|84 24 18,14.643669128417969
90 24 18|90 24 18,12.879371643066406
96 24 18|96 24 18,13.785362243652344
30 18|30 18,10.924339294433594
6 30 18|6 30 18,10.895729064941406
12 30 18|12 30 18,10.6048583984375
18 30 18|18 30 18,11.434555053710938
24 30 18|24 30 18,11.353492736816406
30 30 18|30 30 18,11.949539184570312
36 30 18|36 30 18,12.421607971191406
42 30 18|42 30 18,12.683868408203125
48 30 18|48 30 18,12.040138244628906
54 30 18|54 30 18,12.350082397460938
60 30 18|60 30 18,12.903213500976562
66 30 18|66 30 18,12.602806091308594
72 30 18|72 30 18,13.165473937988281
78 30 18|78 30 18,13.332366943359375
84 30 18|84 30 18,13.346672058105469
90 30 18|90 30 18,12.936592102050781
96 30 18|96 30 18,14.004707336425781
36 18|36 18,10.991096496582031
6 36 18|6 36 18,10.805130004882812
12 36 18|12 36 18,11.162757873535156
18 36 18|18 36 18,11.2152099609375
24 36 18|24 36 18,12.264251708984375
30 36 18|30 36 18,11.734962463378906
36 36 18|36 36 18,12.221336364746094
42 36 18|42 36 18,12.521743774414062
48 36 18|48 36 18,12.803077697753906
54 36 18|54 36 18,13.017654418945312
60 36 18|60 36 18,13.146400451660156
66 36 18|66 36 18,14.333724975585938
72 36 18|72 36 18,13.070106506347656
78 36 18|78 36 18,14.863014221191406
84 36 18|84 36 18,14.886856079101562
90 36 18|90 36 18,15.211105346679688
96 36 18|96 36 18,15.411376953125
42 18|42 18,10.743141174316406
6 42 18|6 42 18,10.914802551269531
12 42 18|12 42 18,10.704994201660156
18 42 18|18 42 18,11.491775512695312
24 42 18|24 42 18,11.835098266601562
30 42 18|30 42 18,12.683868408203125
36 42 18|36 42 18,12.865066528320312
42 42 18|42 42 18,13.46588134765625
48 42 18|48 42 18,13.713836669921875
54 42 18|54 42 18,13.437271118164062
60 42 18|60 42 18,14.882087707519531
66 42 18|66 42 18,14.657974243164062
72 42 18|72 42 18,15.56396484375
78 42 18|78 42 18,14.22882080078125
84 42 18|84 42 18,14.505386352539062
90 42 18|90 42 18,15.792846679687498
96 42 18|96 42 18,19.34528350830078
48 18|48 18,10.590553283691406
6 48 18|6 48 18,11.124610900878906
12 48 18|12 48 18,11.425018310546875
18 48 18|18 48 18,12.216567993164062
24 48 18|24 48 18,13.437271118164062
30 48 18|30 48 18,18.095970153808594
36 48 18|36 48 18,13.089179992675781
42 48 18|42 48 18,13.151168823242188
48 48 18|48 48 18,13.422966003417969
54 48 18|54 48 18,13.246536254882812
60 48 18|60 48 18,13.828277587890625
66 48 18|66 48 18,13.337135314941406
72 48 18|72 48 18,14.362335205078125
78 48 18|78 48 18,14.505386352539062
84 48 18|84 48 18,15.2587890625
90 48 18|90 48 18,15.463829040527344
96 48 18|96 48 18,15.463829040527344
54 18|54 18,11.105537414550781
6 54 18|6 54 18,11.806488037109375
12 54 18|12 54 18,12.803077697753906
18 54 18|18 54 18,11.992454528808594
24 54 18|24 54 18,12.631416320800781
30 54 18|30 54 18,12.664794921875
36 54 18|36 54 18,12.636184692382812
42 54 18|42 54 18,14.233589172363281
48 54 18|48 54 18,13.036727905273438
54 54 18|54 54 18,14.410018920898438
60 54 18|60 54 18,13.494491577148438
66 54 18|66 54 18,15.268325805664064
72 54 18|72 54 18,14.309883117675781
78 54 18|78 54 18,14.896392822265625
84 54 18|84 54 18,17.266273498535156
90 54 18|90 54 18,15.063285827636719
96 54 18|96 54 18,16.345977783203125
60 18|60 18,11.296272277832031
6 60 18|6 60 18,10.957717895507812
12 60 18|12 60 18,11.429786682128906
18 60 18|18 60 18,12.183189392089844
24 60 18|24 60 18,12.989044189453125
30 60 18|30 60 18,12.388229370117188
36 60 18|36 60 18,13.713836669921875
42 60 18|42 60 18,14.004707336425781
