6|6,3.1423568725585938
48 18 18|48 18 18,10.328292846679688
54 18 18|54 18 18,11.682510375976562
60 18 18|60 18 18,13.346672058105469
66 18 18|66 18 18,13.885498046875
72 18 18|72 18 18,14.624595642089844
78 18 18|78 18 18,16.379356384277344
84 18 18|84 18 18,18.014907836914062
90 18 18|90 18 18,20.313262939453125
96 18 18|96 18 18,20.17974853515625
24 18|24 18,6.4849853515625
6 24 18|6 24 18,7.596015930175781
12 24 18|12 24 18,8.444786071777344
18 24 18|18 24 18,8.559226989746094
24 24 18|24 24 18,8.802413940429688
30 24 18|30 24 18,11.720657348632812
36 24 18|36 24 18,11.968612670898438
42 24 18|42 24 18,12.211799621582031
48 24 18|48 24 18,13.632774353027344
54 24 18|54 24 18,12.388229370117188
60 24 18|60 24 18,17.156600952148438
66 24 18|66 24 18,15.335083007812498
72 24 18|72 24 18,20.995140075683594
78 24 18|78 24 18,17.538070678710938
84 24 18|84 24 18,19.774436950683594
90 24 18|90 24 18,25.305747985839844
96 24 18|96 24 18,34.427642822265625
30 18|30 18,6.880760192871094
6 30 18|6 30 18,6.961822509765625
12 30 18|12 30 18,8.039474487304688
18 30 18|18 30 18,9.779930114746094
24 30 18|24 30 18,11.401176452636719
30 30 18|30 30 18,12.111663818359375
36 30 18|36 30 18,14.405250549316406
42 30 18|42 30 18,14.61029052734375
48 30 18|48 30 18,19.26422119140625
54 30 18|54 30 18,17.81940460205078
60 30 18|60 30 18,17.42839813232422
66 30 18|66 30 18,27.866363525390625
72 30 18|72 30 18,17.023086547851562
78 30 18|78 30 18,36.187171936035156
84 30 18|84 30 18,22.726058959960938
90 30 18|90 30 18,39.90650177001953
96 30 18|96 30 18,24.99103546142578
36 18|36 18,8.063316345214844
6 36 18|6 36 18,8.206367492675781
12 36 18|12 36 18,8.306503295898438
18 36 18|18 36 18,8.625984191894531
24 36 18|24 36 18,14.734268188476562
30 36 18|30 36 18,12.540817260742188
36 36 18|36 36 18,17.642974853515625
42 36 18|42 36 18,19.94609832763672
48 36 18|48 36 18,17.59052276611328
54 36 18|54 36 18,27.95696258544922
60 36 18|60 36 18,21.910667419433594
66 36 18|66 36 18,27.484893798828125
72 36 18|72 36 18,37.941932678222656
78 36 18|78 36 18,27.24170684814453
84 36 18|84 36 18,46.977996826171875
90 36 18|90 36 18,48.24638366699219
96 36 18|96 36 18,48.26068878173828
42 18|42 18,6.966590881347656
6 42 18|6 42 18,7.767677307128906
12 42 18|12 42 18,9.0789794921875
18 42 18|18 42 18,10.714530944824219
24 42 18|24 42 18,12.540817260742188
30 42 18|30 42 18,14.843940734863281
36 42 18|36 42 18,19.779205322265625
42 42 18|42 42 18,23.374557495117188
48 42 18|48 42 18,18.105506896972656
54 42 18|54 42 18,21.271705627441406
60 42 18|60 42 18,42.14286804199219
66 42 18|66 42 18,40.97461700439453
72 42 18|72 42 18,44.1741943359375
78 42 18|78 42 18,31.97193145751953
84 42 18|84 42 18,32.05299377441406
90 42 18|90 42 18,55.365562438964844
96 42 18|96 42 18,38.44738006591797
48 18|48 18,6.623268127441406
6 48 18|6 48 18,7.882118225097657
12 48 18|12 48 18,9.846687316894531
18 48 18|18 48 18,12.307167053222656
24 48 18|24 48 18,12.078285217285156
30 48 18|30 48 18,15.869140625
36 48 18|36 48 18,21.448135375976562
42 48 18|42 48 18,25.835037231445312
48 48 18|48 48 18,31.681060791015625
54 48 18|54 48 18,36.01551055908203
60 48 18|60 48 18,44.97528076171875
66 48 18|66 48 18,48.29883575439453
72 48 18|72 48 18,40.10200500488281
78 48 18|78 48 18,54.54063415527344
84 48 18|84 48 18,61.08760833740235
90 48 18|90 48 18,65.12165069580078
96 48 18|96 48 18,67.36278533935547
54 18|54 18,6.8950653076171875
6 54 18|6 54 18,8.220672607421875
